id,name,slug,parent_id,type,created_at

# Regions
r23e4567-e89b-12d3-a456-426614174001,Adamawa,adamawa,,region,2025-02-27 09:55:44.475205+00
r23e4567-e89b-12d3-a456-426614174002,Centre,centre,,region,2025-02-27 09:55:44.475205+00
r23e4567-e89b-12d3-a456-426614174003,East,east,,region,2025-02-27 09:55:44.475205+00
r23e4567-e89b-12d3-a456-426614174004,Far North,far-north,,region,2025-02-27 09:55:44.475205+00
r23e4567-e89b-12d3-a456-426614174005,Littoral,littoral,,region,2025-02-27 09:55:44.475205+00
r23e4567-e89b-12d3-a456-426614174006,North,north,,region,2025-02-27 09:55:44.475205+00
r23e4567-e89b-12d3-a456-426614174007,Northwest,northwest,,region,2025-02-27 09:55:44.475205+00
r23e4567-e89b-12d3-a456-426614174008,South,south,,region,2025-02-27 09:55:44.475205+00
r23e4567-e89b-12d3-a456-426614174009,Southwest,southwest,,region,2025-02-27 09:55:44.475205+00
r23e4567-e89b-12d3-a456-426614174010,West,west,,region,2025-02-27 09:55:44.475205+00

# Towns in Adamawa Region
t23e4567-e89b-12d3-a456-426614174011,Ngaoundéré,ngaoundere,r23e4567-e89b-12d3-a456-426614174001,town,2025-02-27 09:55:44.475205+00
t23e4567-e89b-12d3-a456-426614174017,Tibati,tibati,r23e4567-e89b-12d3-a456-426614174001,town,2025-02-27 09:55:44.475205+00
t23e4567-e89b-12d3-a456-426614174018,Ngaoundal,ngaoundal,r23e4567-e89b-12d3-a456-426614174001,town,2025-02-27 09:55:44.475205+00
t23e4567-e89b-12d3-a456-426614174019,Tignère,tignere,r23e4567-e89b-12d3-a456-426614174001,town,2025-02-27 09:55:44.475205+00
t23e4567-e89b-12d3-a456-426614174020,Banyo,banyo,r23e4567-e89b-12d3-a456-426614174001,town,2025-02-27 09:55:44.475205+00

# Towns in Centre Region
t23e4567-e89b-12d3-a456-426614174021,Yaoundé,yaounde,r23e4567-e89b-12d3-a456-426614174002,town,2025-02-27 09:55:44.475205+00
t23e4567-e89b-12d3-a456-426614174022,Obala,obala,r23e4567-e89b-12d3-a456-426614174002,town,2025-02-27 09:55:44.475205+00
t23e4567-e89b-12d3-a456-426614174023,Mbalmayo,mbalmayo,r23e4567-e89b-12d3-a456-426614174002,town,2025-02-27 09:55:44.475205+00
