id,name,slug,parent_id,type,created_at

# Quarters in Ngaoundéré
adw23e4567-e89b-12d3-a456-426614174001,Plateau,plateau,t23e4567-e89b-12d3-a456-426614174011,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174002,Bamyanga,bamyanga,t23e4567-e89b-12d3-a456-426614174011,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174003,Burkina,burkina,t23e4567-e89b-12d3-a456-426614174011,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174004,Mbideng,mbideng,t23e4567-e89b-12d3-a456-426614174011,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174005,Sabongari,sabongari,t23e4567-e89b-12d3-a456-426614174011,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174006,Baladji,baladji,t23e4567-e89b-12d3-a456-426614174011,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174007,Joli Soir,joli-soir,t23e4567-e89b-12d3-a456-426614174011,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174008,Norvegien,norvegien,t23e4567-e89b-12d3-a456-426614174011,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174009,Gambara,gambara,t23e4567-e89b-12d3-a456-426614174011,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174010,Bali,bali,t23e4567-e89b-12d3-a456-426614174011,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174011,Dang,dang,t23e4567-e89b-12d3-a456-426614174011,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174012,Marza,marza,t23e4567-e89b-12d3-a456-426614174011,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174013,Béka,beka,t23e4567-e89b-12d3-a456-426614174011,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174014,Mbéré-Tongo,mbere-tongo,t23e4567-e89b-12d3-a456-426614174011,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174015,Wakwa,wakwa,t23e4567-e89b-12d3-a456-426614174011,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Tibati
adw23e4567-e89b-12d3-a456-426614174016,Meidjamba,meidjamba,t23e4567-e89b-12d3-a456-426614174017,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174017,Lamidat,lamidat,t23e4567-e89b-12d3-a456-426614174017,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174018,Yoko,yoko,t23e4567-e89b-12d3-a456-426614174017,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174019,Malarba,malarba,t23e4567-e89b-12d3-a456-426614174017,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174020,Mbakaou,mbakaou,t23e4567-e89b-12d3-a456-426614174017,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Ngaoundal
adw23e4567-e89b-12d3-a456-426614174021,Centre-Ville,centre-ville,t23e4567-e89b-12d3-a456-426614174018,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174022,Gare,gare,t23e4567-e89b-12d3-a456-426614174018,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174023,Borongo,borongo,t23e4567-e89b-12d3-a456-426614174018,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174024,Mbarnang,mbarnang,t23e4567-e89b-12d3-a456-426614174018,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Tignère
adw23e4567-e89b-12d3-a456-426614174025,Quartier Administratif,quartier-administratif,t23e4567-e89b-12d3-a456-426614174019,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174026,Mayo-Baléo,mayo-baleo,t23e4567-e89b-12d3-a456-426614174019,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174027,Kontcha,kontcha,t23e4567-e89b-12d3-a456-426614174019,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174028,Gadjiwan,gadjiwan,t23e4567-e89b-12d3-a456-426614174019,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Banyo
adw23e4567-e89b-12d3-a456-426614174029,Plateau,plateau,t23e4567-e89b-12d3-a456-426614174020,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174030,Mayo-Darlé,mayo-darle,t23e4567-e89b-12d3-a456-426614174020,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174031,Sambolabo,sambolabo,t23e4567-e89b-12d3-a456-426614174020,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174032,Mayo-Djinga,mayo-djinga,t23e4567-e89b-12d3-a456-426614174020,quarter,2025-02-27 09:55:44.475205+00
adw23e4567-e89b-12d3-a456-426614174033,Mbamti,mbamti,t23e4567-e89b-12d3-a456-426614174020,quarter,2025-02-27 09:55:44.475205+00 
