id,name,slug,parent_id,type,created_at

# Quarters in Yaoundé
ctr23e4567-e89b-12d3-a456-426614174001,Bastos,bastos,t23e4567-e89b-12d3-a456-426614174021,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174002,Mvog-Mbi,mvog-mbi,t23e4567-e89b-12d3-a456-426614174021,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174003,Biyem-Assi,biyem-assi,t23e4567-e89b-12d3-a456-426614174021,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174004,Mvan,mvan,t23e4567-e89b-12d3-a456-426614174021,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174005,Nsimeyong,nsimeyong,t23e4567-e89b-12d3-a456-426614174021,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174006,Ekounou,ekounou,t23e4567-e89b-12d3-a456-426614174021,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174007,Etoudi,etoudi,t23e4567-e89b-12d3-a456-426614174021,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174008,Mendong,mendong,t23e4567-e89b-12d3-a456-426614174021,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174009,Odza,odza,t23e4567-e89b-12d3-a456-426614174021,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174010,Ngoa-Ekelle,ngoa-ekelle,t23e4567-e89b-12d3-a456-426614174021,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174011,Mimboman,mimboman,t23e4567-e89b-12d3-a456-426614174021,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174012,Nkolndongo,nkolndongo,t23e4567-e89b-12d3-a456-426614174021,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174013,Essos,essos,t23e4567-e89b-12d3-a456-426614174021,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174014,Emana,emana,t23e4567-e89b-12d3-a456-426614174021,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174015,Nkol-Eton,nkol-eton,t23e4567-e89b-12d3-a456-426614174021,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Obala
ctr23e4567-e89b-12d3-a456-426614174016,Centre Commercial,centre-commercial,t23e4567-e89b-12d3-a456-426614174022,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174017,Nkometou,nkometou,t23e4567-e89b-12d3-a456-426614174022,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174018,Endinding,endinding,t23e4567-e89b-12d3-a456-426614174022,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174019,Minkama,minkama,t23e4567-e89b-12d3-a456-426614174022,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174020,Ekoum-Douma,ekoum-douma,t23e4567-e89b-12d3-a456-426614174022,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Mbalmayo
ctr23e4567-e89b-12d3-a456-426614174021,Oyack,oyack,t23e4567-e89b-12d3-a456-426614174023,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174022,Nkolnguet,nkolnguet,t23e4567-e89b-12d3-a456-426614174023,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174023,Abang,abang,t23e4567-e89b-12d3-a456-426614174023,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174024,Ngallan,ngallan,t23e4567-e89b-12d3-a456-426614174023,quarter,2025-02-27 09:55:44.475205+00
ctr23e4567-e89b-12d3-a456-426614174025,Centre Administratif,centre-administratif,t23e4567-e89b-12d3-a456-426614174023,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Akonolinga
