id,name,slug,parent_id,type,created_at

# Quarters in Bertoua
est23e4567-e89b-12d3-a456-426614174001,Quartier B,quartier-b,t23e4567-e89b-12d3-a456-426614174031,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174002,Nkolbikon,nkolbikon,t23e4567-e89b-12d3-a456-426614174031,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174003,Mokolo,mokolo,t23e4567-e89b-12d3-a456-426614174031,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174004,Enia,enia,t23e4567-e89b-12d3-a456-426614174031,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174005,Tigaza,tigaza,t23e4567-e89b-12d3-a456-426614174031,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174006,Bambouti,bambouti,t23e4567-e89b-12d3-a456-426614174031,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174007,Ndogpassi,ndogpassi,t23e4567-e89b-12d3-a456-426614174031,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174008,Kano,kano,t23e4567-e89b-12d3-a456-426614174031,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174009,Mboma,mboma,t23e4567-e89b-12d3-a456-426614174031,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174010,Nkolmelen,nkolmelen,t23e4567-e89b-12d3-a456-426614174031,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174011,Quartier A,quartier-a,t23e4567-e89b-12d3-a456-426614174031,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174012,Quartier C,quartier-c,t23e4567-e89b-12d3-a456-426614174031,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174013,Quartier D,quartier-d,t23e4567-e89b-12d3-a456-426614174031,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Batouri
est23e4567-e89b-12d3-a456-426614174014,Centre Commercial,centre-commercial,t23e4567-e89b-12d3-a456-426614174032,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174015,Kpwengue,kpwengue,t23e4567-e89b-12d3-a456-426614174032,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174016,Ndongmebe,ndongmebe,t23e4567-e89b-12d3-a456-426614174032,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174017,Nyabi,nyabi,t23e4567-e89b-12d3-a456-426614174032,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174018,Mongo,mongo,t23e4567-e89b-12d3-a456-426614174032,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Abong-Mbang
est23e4567-e89b-12d3-a456-426614174019,Centre-Ville,centre-ville,t23e4567-e89b-12d3-a456-426614174033,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174020,Ayos,ayos,t23e4567-e89b-12d3-a456-426614174033,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174021,Mindourou,mindourou,t23e4567-e89b-12d3-a456-426614174033,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174022,Messaména,messamena,t23e4567-e89b-12d3-a456-426614174033,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Yokadouma
est23e4567-e89b-12d3-a456-426614174023,Quartier Administratif,quartier-administratif,t23e4567-e89b-12d3-a456-426614174034,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174024,Mboy,mboy,t23e4567-e89b-12d3-a456-426614174034,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174025,Ngatto,ngatto,t23e4567-e89b-12d3-a456-426614174034,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174026,Mopouo,mopouo,t23e4567-e89b-12d3-a456-426614174034,quarter,2025-02-27 09:55:44.475205+00
est23e4567-e89b-12d3-a456-426614174027,Bidjouki,bidjouki,t23e4567-e89b-12d3-a456-426614174034,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Lomié
