id,name,slug,parent_id,type,created_at

# Quarters in Maroua
fn23e4567-e89b-12d3-a456-426614174001,Domayo,domayo,t23e4567-e89b-12d3-a456-426614174037,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174002,Pitoaré,pitoare,t23e4567-e89b-12d3-a456-426614174037,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174003,Doualaré,doualare,t23e4567-e89b-12d3-a456-426614174037,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174004,Zokok,zokok,t23e4567-e89b-12d3-a456-426614174037,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174005,Djarengol,djarengol,t23e4567-e89b-12d3-a456-426614174037,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174006,Kakataré,kakatare,t23e4567-e89b-12d3-a456-426614174037,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174007,Lopéré,lopere,t23e4567-e89b-12d3-a456-426614174037,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174008,Baouliwol,baouliwol,t23e4567-e89b-12d3-a456-426614174037,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174009,Founangué,founangue,t23e4567-e89b-12d3-a456-426614174037,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174010,Kodek,kodek,t23e4567-e89b-12d3-a456-426614174037,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Kousséri
fn23e4567-e89b-12d3-a456-426614174011,Centre Commercial,centre-commercial,t23e4567-e89b-12d3-a456-426614174038,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174012,Lac,lac,t23e4567-e89b-12d3-a456-426614174038,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174013,Mardagué,mardague,t23e4567-e89b-12d3-a456-426614174038,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174014,Pont,pont,t23e4567-e89b-12d3-a456-426614174038,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174015,Maltam,maltam,t23e4567-e89b-12d3-a456-426614174038,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Mokolo
fn23e4567-e89b-12d3-a456-426614174016,Centre-Ville,centre-ville,t23e4567-e89b-12d3-a456-426614174039,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174017,Mboua,mboua,t23e4567-e89b-12d3-a456-426614174039,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174018,Mayo-Wandé,mayo-wande,t23e4567-e89b-12d3-a456-426614174039,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174019,Ldamsay,ldamsay,t23e4567-e89b-12d3-a456-426614174039,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174020,Zamay,zamay,t23e4567-e89b-12d3-a456-426614174039,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Mora
fn23e4567-e89b-12d3-a456-426614174021,Mora-Massif,mora-massif,t23e4567-e89b-12d3-a456-426614174040,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174022,Centre Commercial,centre-commercial,t23e4567-e89b-12d3-a456-426614174040,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174023,Gakara,gakara,t23e4567-e89b-12d3-a456-426614174040,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174024,Mémé,meme,t23e4567-e89b-12d3-a456-426614174040,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Yagoua
fn23e4567-e89b-12d3-a456-426614174025,Administratif,administratif,t23e4567-e89b-12d3-a456-426614174041,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174026,Domo,domo,t23e4567-e89b-12d3-a456-426614174041,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174027,Toukou,toukou,t23e4567-e89b-12d3-a456-426614174041,quarter,2025-02-27 09:55:44.475205+00
fn23e4567-e89b-12d3-a456-426614174028,Kinada,kinada,t23e4567-e89b-12d3-a456-426614174041,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Kaélé
