id,name,slug,parent_id,type,created_at

# Quarters in Douala
lit23e4567-e89b-12d3-a456-426614174001,Bonanjo,bonanjo,t23e4567-e89b-12d3-a456-426614174046,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174002,Deido,deido,t23e4567-e89b-12d3-a456-426614174046,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174003,New Bell,new-bell,t23e4567-e89b-12d3-a456-426614174046,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174004,Akwa,akwa,t23e4567-e89b-12d3-a456-426614174046,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174005,Bonapriso,bonapriso,t23e4567-e89b-12d3-a456-426614174046,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174006,Makepe,makepe,t23e4567-e89b-12d3-a456-426614174046,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174007,Ndokoti,ndokoti,t23e4567-e89b-12d3-a456-426614174046,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174008,Logbaba,logbaba,t23e4567-e89b-12d3-a456-426614174046,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174009,Bepanda,bepanda,t23e4567-e89b-12d3-a456-426614174046,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174010,Bessengue,bessengue,t23e4567-e89b-12d3-a456-426614174046,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174011,Bonaberi,bonaberi,t23e4567-e89b-12d3-a456-426614174046,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174012,Bonamoussadi,bonamoussadi,t23e4567-e89b-12d3-a456-426614174046,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174013,Cite Sic,cite-sic,t23e4567-e89b-12d3-a456-426614174046,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174014,Japoma,japoma,t23e4567-e89b-12d3-a456-426614174046,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174015,Youpwe,youpwe,t23e4567-e89b-12d3-a456-426614174046,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Edéa
lit23e4567-e89b-12d3-a456-426614174016,Centre Commercial,centre-commercial,t23e4567-e89b-12d3-a456-426614174047,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174017,Ekité,ekite,t23e4567-e89b-12d3-a456-426614174047,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174018,Mbanda,mbanda,t23e4567-e89b-12d3-a456-426614174047,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174019,Nkonga,nkonga,t23e4567-e89b-12d3-a456-426614174047,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174020,Bilalang,bilalang,t23e4567-e89b-12d3-a456-426614174047,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Nkongsamba
lit23e4567-e89b-12d3-a456-426614174021,Bonangoh,bonangoh,t23e4567-e89b-12d3-a456-426614174048,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174022,Bonambome,bonambome,t23e4567-e89b-12d3-a456-426614174048,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174023,Ekangté,ekangté,t23e4567-e89b-12d3-a456-426614174048,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174024,Mbaressoumtou,mbaressoumtou,t23e4567-e89b-12d3-a456-426614174048,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174025,Quartier Haoussa,quartier-haoussa,t23e4567-e89b-12d3-a456-426614174048,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Loum
lit23e4567-e89b-12d3-a456-426614174026,Centre-Ville,centre-ville,t23e4567-e89b-12d3-a456-426614174049,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174027,Bonkeng,bonkeng,t23e4567-e89b-12d3-a456-426614174049,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174028,Loum Chantiers,loum-chantiers,t23e4567-e89b-12d3-a456-426614174049,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174029,Kumba Market,kumba-market,t23e4567-e89b-12d3-a456-426614174049,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Dizangué
lit23e4567-e89b-12d3-a456-426614174030,Beach,beach,t23e4567-e89b-12d3-a456-426614174050,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174031,Plantation,plantation,t23e4567-e89b-12d3-a456-426614174050,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174032,Holland,holland,t23e4567-e89b-12d3-a456-426614174050,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Manjo
lit23e4567-e89b-12d3-a456-426614174033,Centre Commercial,centre-commercial,t23e4567-e89b-12d3-a456-426614174051,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174034,Kola,kola,t23e4567-e89b-12d3-a456-426614174051,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174035,Moungo,moungo,t23e4567-e89b-12d3-a456-426614174051,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Mbanga
lit23e4567-e89b-12d3-a456-426614174036,Compagnie,compagnie,t23e4567-e89b-12d3-a456-426614174052,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174037,Souza,souza,t23e4567-e89b-12d3-a456-426614174052,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174038,Njombe,njombe,t23e4567-e89b-12d3-a456-426614174052,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Yabassi
lit23e4567-e89b-12d3-a456-426614174039,Centre Administratif,centre-administratif,t23e4567-e89b-12d3-a456-426614174053,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174040,Bodiman,bodiman,t23e4567-e89b-12d3-a456-426614174053,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174041,Ndogbele,ndogbele,t23e4567-e89b-12d3-a456-426614174053,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Penja
lit23e4567-e89b-12d3-a456-426614174042,New Layout,new-layout,t23e4567-e89b-12d3-a456-426614174054,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174043,Camp PHP,camp-php,t23e4567-e89b-12d3-a456-426614174054,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174044,Plantations,plantations,t23e4567-e89b-12d3-a456-426614174054,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Mouanko
lit23e4567-e89b-12d3-a456-426614174045,Port,port,t23e4567-e89b-12d3-a456-426614174055,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174046,Yoyo,yoyo,t23e4567-e89b-12d3-a456-426614174055,quarter,2025-02-27 09:55:44.475205+00
lit23e4567-e89b-12d3-a456-426614174047,Manoka,manoka,t23e4567-e89b-12d3-a456-426614174055,quarter,2025-02-27 09:55:44.475205+00 
