id,name,slug,parent_id,type,created_at

# Quarters in Garoua
nth23e4567-e89b-12d3-a456-426614174001,Palar,palar,t23e4567-e89b-12d3-a456-426614174056,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174002,Pitoa,pitoa,t23e4567-e89b-12d3-a456-426614174056,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174003,Djamboutou,djamboutou,t23e4567-e89b-12d3-a456-426614174056,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174004,Marouaré,marouare,t23e4567-e89b-12d3-a456-426614174056,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174005,Roumdé Adjia,roumde-adjia,t23e4567-e89b-12d3-a456-426614174056,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174006,Kollere,kollere,t23e4567-e89b-12d3-a456-426614174056,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174007,Bibémiré,bibemire,t23e4567-e89b-12d3-a456-426614174056,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174008,Laindé,lainde,t23e4567-e89b-12d3-a456-426614174056,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174009,Souari,souari,t23e4567-e89b-12d3-a456-426614174056,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174010,Plateau,plateau,t23e4567-e89b-12d3-a456-426614174056,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Guider
nth23e4567-e89b-12d3-a456-426614174011,Centre Commercial,centre-commercial,t23e4567-e89b-12d3-a456-426614174057,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174012,Mayo-Loué,mayo-loue,t23e4567-e89b-12d3-a456-426614174057,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174013,Figuil,figuil,t23e4567-e89b-12d3-a456-426614174057,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174014,Lam,lam,t23e4567-e89b-12d3-a456-426614174057,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174015,Mayo-Oulo,mayo-oulo,t23e4567-e89b-12d3-a456-426614174057,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Poli
nth23e4567-e89b-12d3-a456-426614174016,Centre-Ville,centre-ville,t23e4567-e89b-12d3-a456-426614174058,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174017,Boumba,boumba,t23e4567-e89b-12d3-a456-426614174058,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174018,Godé,gode,t23e4567-e89b-12d3-a456-426614174058,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174019,Fignolé,fignole,t23e4567-e89b-12d3-a456-426614174058,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Lagdo
nth23e4567-e89b-12d3-a456-426614174020,Ouro Kessoum,ouro-kessoum,t23e4567-e89b-12d3-a456-426614174059,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174021,Djippordé,djipporde,t23e4567-e89b-12d3-a456-426614174059,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174022,Bessoum,bessoum,t23e4567-e89b-12d3-a456-426614174059,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174023,Ouro Labbo,ouro-labbo,t23e4567-e89b-12d3-a456-426614174059,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Rey Bouba
nth23e4567-e89b-12d3-a456-426614174024,Rey-Centre,rey-centre,t23e4567-e89b-12d3-a456-426614174060,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174025,Mboukma,mboukma,t23e4567-e89b-12d3-a456-426614174060,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174026,Tcholliré,tchollire,t23e4567-e89b-12d3-a456-426614174060,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174027,Touboro,touboro,t23e4567-e89b-12d3-a456-426614174060,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Tcholliré
nth23e4567-e89b-12d3-a456-426614174028,Centre Administratif,centre-administratif,t23e4567-e89b-12d3-a456-426614174061,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174029,Sakdjé,sakdje,t23e4567-e89b-12d3-a456-426614174061,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174030,Mayo-Galké,mayo-galke,t23e4567-e89b-12d3-a456-426614174061,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Bibemi
nth23e4567-e89b-12d3-a456-426614174031,Bibemi-Centre,bibemi-centre,t23e4567-e89b-12d3-a456-426614174062,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174032,Adoumri,adoumri,t23e4567-e89b-12d3-a456-426614174062,quarter,2025-02-27 09:55:44.475205+00
nth23e4567-e89b-12d3-a456-426614174033,Mayo-Oulo,mayo-oulo,t23e4567-e89b-12d3-a456-426614174062,quarter,2025-02-27 09:55:44.475205+00 
