id,name,slug,parent_id,type,created_at

# Quarters in Bamenda
nw23e4567-e89b-12d3-a456-426614174001,Up Station,up-station,t23e4567-e89b-12d3-a456-426614174063,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174002,Nkwen,nkwen,t23e4567-e89b-12d3-a456-426614174063,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174003,Mankon,mankon,t23e4567-e89b-12d3-a456-426614174063,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174004,Old Town,old-town,t23e4567-e89b-12d3-a456-426614174063,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174005,Ntamulung,ntamulung,t23e4567-e89b-12d3-a456-426614174063,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174006,Azire,azire,t23e4567-e89b-12d3-a456-426614174063,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174007,Bayelle,bayelle,t23e4567-e89b-12d3-a456-426614174063,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174008,Musang,musang,t23e4567-e89b-12d3-a456-426614174063,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174009,Atuakom,atuakom,t23e4567-e89b-12d3-a456-426614174063,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174010,Small Mankon,small-mankon,t23e4567-e89b-12d3-a456-426614174063,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174011,Mile 4,mile-4,t23e4567-e89b-12d3-a456-426614174063,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174012,Mile 3,mile-3,t23e4567-e89b-12d3-a456-426614174063,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174013,Mile 2,mile-2,t23e4567-e89b-12d3-a456-426614174063,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174014,Commercial Avenue,commercial-avenue,t23e4567-e89b-12d3-a456-426614174063,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174015,Food Market,food-market,t23e4567-e89b-12d3-a456-426614174063,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Ndop
nw23e4567-e89b-12d3-a456-426614174016,Ndop Central,ndop-central,t23e4567-e89b-12d3-a456-426614174064,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174017,Bamunka,bamunka,t23e4567-e89b-12d3-a456-426614174064,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174018,Bamessing,bamessing,t23e4567-e89b-12d3-a456-426614174064,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174019,Bamali,bamali,t23e4567-e89b-12d3-a456-426614174064,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174020,Bambalang,bambalang,t23e4567-e89b-12d3-a456-426614174064,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Kumbo
nw23e4567-e89b-12d3-a456-426614174021,Squares,squares,t23e4567-e89b-12d3-a456-426614174065,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174022,Tobin,tobin,t23e4567-e89b-12d3-a456-426614174065,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174023,Mbve,mbve,t23e4567-e89b-12d3-a456-426614174065,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174024,Romkong,romkong,t23e4567-e89b-12d3-a456-426614174065,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174025,Kikaikom,kikaikom,t23e4567-e89b-12d3-a456-426614174065,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Wum
nw23e4567-e89b-12d3-a456-426614174026,Wum Central,wum-central,t23e4567-e89b-12d3-a456-426614174066,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174027,Naikom,naikom,t23e4567-e89b-12d3-a456-426614174066,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174028,Kesu,kesu,t23e4567-e89b-12d3-a456-426614174066,quarter,2025-02-27 09:55:44.475205+00
nw23e4567-e89b-12d3-a456-426614174029,Aghem,aghem,t23e4567-e89b-12d3-a456-426614174066,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Mbengwi
nw23e4567-e89b-12d3-a456-426614174030,Mbengwi Central,mbengwi-central,t23e4567-e89b-12d3-a456-426614174067,quarter,2025-02-27 09:55:44.475205+00
