id,name,slug,parent_id,type,created_at

# Quarters in Ebolowa
sth23e4567-e89b-12d3-a456-426614174001,Quartier Administratif,quartier-administratif,t23e4567-e89b-12d3-a456-426614174069,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174002,Nko'ovos,nkoovos,t23e4567-e89b-12d3-a456-426614174069,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174003,Mvog-Mbi,mvog-mbi,t23e4567-e89b-12d3-a456-426614174069,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174004,Angalé,angale,t23e4567-e89b-12d3-a456-426614174069,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174005,Mekalat,mekalat,t23e4567-e89b-12d3-a456-426614174069,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174006,Nko'emvon,nkoemvon,t23e4567-e89b-12d3-a456-426614174069,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174007,New-Bell,new-bell,t23e4567-e89b-12d3-a456-426614174069,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174008,Mvog-Ada,mvog-ada,t23e4567-e89b-12d3-a456-426614174069,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174009,Ngalan,ngalan,t23e4567-e89b-12d3-a456-426614174069,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174010,Oyem-Abang,oyem-abang,t23e4567-e89b-12d3-a456-426614174069,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Kribi
sth23e4567-e89b-12d3-a456-426614174011,Mboa-Manga,mboa-manga,t23e4567-e89b-12d3-a456-426614174070,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174012,Dombé,dombe,t23e4567-e89b-12d3-a456-426614174070,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174013,Petit-Paris,petit-paris,t23e4567-e89b-12d3-a456-426614174070,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174014,Afan-Mabé,afan-mabe,t23e4567-e89b-12d3-a456-426614174070,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174015,Talla,talla,t23e4567-e89b-12d3-a456-426614174070,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174016,Mpangou,mpangou,t23e4567-e89b-12d3-a456-426614174070,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174017,Ngoye,ngoye,t23e4567-e89b-12d3-a456-426614174070,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174018,Grand-Batanga,grand-batanga,t23e4567-e89b-12d3-a456-426614174070,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Sangmélima
sth23e4567-e89b-12d3-a456-426614174019,Centre Commercial,centre-commercial,t23e4567-e89b-12d3-a456-426614174071,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174020,Mezesse,mezesse,t23e4567-e89b-12d3-a456-426614174071,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174021,Nkolbikon,nkolbikon,t23e4567-e89b-12d3-a456-426614174071,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174022,Bissono,bissono,t23e4567-e89b-12d3-a456-426614174071,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174023,Mepho,mepho,t23e4567-e89b-12d3-a456-426614174071,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174024,Oveng,oveng,t23e4567-e89b-12d3-a456-426614174071,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Ambam
sth23e4567-e89b-12d3-a456-426614174025,Ambam Centre,ambam-centre,t23e4567-e89b-12d3-a456-426614174072,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174026,Nkpwa'a,nkpwaa,t23e4567-e89b-12d3-a456-426614174072,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174027,Meyo-Centre,meyo-centre,t23e4567-e89b-12d3-a456-426614174072,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174028,Akak,akak,t23e4567-e89b-12d3-a456-426614174072,quarter,2025-02-27 09:55:44.475205+00
sth23e4567-e89b-12d3-a456-426614174029,Ma'an,maan,t23e4567-e89b-12d3-a456-426614174072,quarter,2025-02-27 09:55:44.475205+00 
