id,name,slug,parent_id,type,created_at

# Quarters in Buea
sw23e4567-e89b-12d3-a456-426614174001,Molyko,molyko,t23e4567-e89b-12d3-a456-426614174073,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174002,Checkpoint,checkpoint,t23e4567-e89b-12d3-a456-426614174073,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174003,Great Soppo,great-soppo,t23e4567-e89b-12d3-a456-426614174073,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174004,Bokwaongo,bokwaongo,t23e4567-e89b-12d3-a456-426614174073,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174005,Small Soppo,small-soppo,t23e4567-e89b-12d3-a456-426614174073,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174006,Federal Quarter,federal-quarter,t23e4567-e89b-12d3-a456-426614174073,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174007,Bonduma,bonduma,t23e4567-e89b-12d3-a456-426614174073,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174008,Clerks Quarter,clerks-quarter,t23e4567-e89b-12d3-a456-426614174073,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174009,Buea Town,buea-town,t23e4567-e89b-12d3-a456-426614174073,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174010,GRA,gra,t23e4567-e89b-12d3-a456-426614174073,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Kumba
sw23e4567-e89b-12d3-a456-426614174011,New Town,new-town,t23e4567-e89b-12d3-a456-426614174074,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174012,Fiango,fiango,t23e4567-e89b-12d3-a456-426614174074,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174013,Kosala,kosala,t23e4567-e89b-12d3-a456-426614174074,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174014,Kumba Town,kumba-town,t23e4567-e89b-12d3-a456-426614174074,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174015,Mbonge Road,mbonge-road,t23e4567-e89b-12d3-a456-426614174074,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174016,Three Corners,three-corners,t23e4567-e89b-12d3-a456-426614174074,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174017,Hausa Quarter,hausa-quarter,t23e4567-e89b-12d3-a456-426614174074,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174018,Bokwaongo,bokwaongo,t23e4567-e89b-12d3-a456-426614174074,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Limbe
sw23e4567-e89b-12d3-a456-426614174019,Down Beach,down-beach,t23e4567-e89b-12d3-a456-426614174075,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174020,Mile 4,mile-4,t23e4567-e89b-12d3-a456-426614174075,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174021,New Town,new-town,t23e4567-e89b-12d3-a456-426614174075,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174022,Church Street,church-street,t23e4567-e89b-12d3-a456-426614174075,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174023,Unity Quarter,unity-quarter,t23e4567-e89b-12d3-a456-426614174075,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174024,Cassava Farms,cassava-farms,t23e4567-e89b-12d3-a456-426614174075,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174025,Mile 2,mile-2,t23e4567-e89b-12d3-a456-426614174075,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174026,Mabeta,mabeta,t23e4567-e89b-12d3-a456-426614174075,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174027,Bota,bota,t23e4567-e89b-12d3-a456-426614174075,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174028,Gardens,gardens,t23e4567-e89b-12d3-a456-426614174075,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Tiko
sw23e4567-e89b-12d3-a456-426614174029,Tiko Town,tiko-town,t23e4567-e89b-12d3-a456-426614174076,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174030,Likomba,likomba,t23e4567-e89b-12d3-a456-426614174076,quarter,2025-02-27 09:55:44.475205+00
sw23e4567-e89b-12d3-a456-426614174031,Mutengene,mutengene,t23e4567-e89b-12d3-a456-426614174076,quarter,2025-02-27 09:55:44.475205+00
