id,name,slug,parent_id,type,created_at

# Quarters in Bafoussam
wst23e4567-e89b-12d3-a456-426614174001,Tamdja,tamdja,t23e4567-e89b-12d3-a456-426614174078,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174002,Tougang,tougang,t23e4567-e89b-12d3-a456-426614174078,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174003,Kamkop,kamkop,t23e4567-e89b-12d3-a456-426614174078,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174004,Djeleng,djeleng,t23e4567-e89b-12d3-a456-426614174078,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174005,Banengo,banengo,t23e4567-e89b-12d3-a456-426614174078,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174006,Baleng,baleng,t23e4567-e89b-12d3-a456-426614174078,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174007,Kouogouo,kouogouo,t23e4567-e89b-12d3-a456-426614174078,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174008,Famla,famla,t23e4567-e89b-12d3-a456-426614174078,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174009,Tocket,tocket,t23e4567-e89b-12d3-a456-426614174078,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174010,Ndiandam,ndiandam,t23e4567-e89b-12d3-a456-426614174078,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Dschang
wst23e4567-e89b-12d3-a456-426614174011,Quartier Universitaire,quartier-universitaire,t23e4567-e89b-12d3-a456-426614174079,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174012,Mingmeto,mingmeto,t23e4567-e89b-12d3-a456-426614174079,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174013,Foto,foto,t23e4567-e89b-12d3-a456-426614174079,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174014,Paid Ground,paid-ground,t23e4567-e89b-12d3-a456-426614174079,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174015,Keleng,keleng,t23e4567-e89b-12d3-a456-426614174079,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174016,Fiankop,fiankop,t23e4567-e89b-12d3-a456-426614174079,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174017,Foreke,foreke,t23e4567-e89b-12d3-a456-426614174079,quarter,2025-02-27 09:55:44.475205+00
wst23e4567-e89b-12d3-a456-426614174018,Tchoualé,tchouale,t23e4567-e89b-12d3-a456-426614174079,quarter,2025-02-27 09:55:44.475205+00

# Quarters in Bafang
wst23e4567-e89b-12d3-a456-426614174019,Centre Commercial,centre-commercial,t23e4567-e89b-12d3-a456-426614174080,quarter,2025-02-27 09:55:44.475205+00
